Hampton Inn Cedar Rapids,"Cedar Rapids, IA",$70
DoubleTree by Hilton Hotel Cedar Rapids Convention Complex,"Cedar Rapids, IA",$110
Homewood Suites by Hilton Cedar Rapids-North,"Cedar Rapids, IA",$102
Hampton Inn & Suites Cedar Rapids - North,"Cedar Rapids, IA",$94
Home2 Suites by Hilton Iowa City Coralville,"Coralville, IA",$94
Hampton Inn Iowa City/Coralville,"Coralville, IA",$87
"Homewood Suites by Hilton Coralville - Iowa River Landing, IA","Coralville, IA",$111
Hampton Inn & Suites Burlington,"Burlington, IA",$108
Home2 Suites by Hilton Bettendorf Quad Cities,"Bettendorf, IA",$85
Hilton Garden Inn Bettendorf/Quad Cities,"Bettendorf, IA",$90
Hampton Inn Clinton,"Clinton, IA",$96
Hampton Inn Omaha Airport,"Carter Lake, IA",$89
Name,Location,Price per Night
Hampton Inn Hays-North of I-70,"Hays, KS",$94
Hampton Inn Hutchinson,"Hutchinson, KS",$89
Hampton Inn Junction City,"Junction City, KS",$65
Hampton Inn Manhattan,"Manhattan, KS",$82
Hampton Inn Derby,"Derby, KS",$82
Hampton Inn & Suites Dodge City,"Dodge City, KS",$104
Hampton Inn Emporia,"Emporia, KS",$104
Hampton Inn Colby,"Colby, KS",$98
Hampton Inn Garden City,"Garden City, KS",$82
Tru by Hilton Lawrence,"Lawrence, KS",$78
Hampton Inn Lawrence,"Lawrence, KS",$99
DoubleTree by Hilton Hotel Lawrence,"Lawrence, KS",$82
Hampton Inn & Suites Liberal,"Liberal, KS",$85
Hampton Inn Leavenworth,"Leavenworth, KS",$106
Home2 Suites by Hilton Leavenworth Downtown,"Leavenworth, KS",$109
Hampton Inn Gardner Conference  Center,"Gardner, KS",$101
Homewood Suites by Hilton Kansas City Speedway,"Kansas City, KS",$113
Hampton Inn Kansas City The Legends,"Kansas City, KS",$87
Hilton Garden Inn Kansas City/Kansas,"Kansas City, KS",$109
Home2 Suites by Hilton Kansas City KU Medical Center,"Kansas City, KS",$100
Name,Location,Price per Night
Hampton Inn Danville,"Danville, KY",$95
Hampton Inn Frankfort,"Frankfort, KY",$103
Hampton Inn Corbin,"Corbin, KY",$102
Hampton Inn Dry Ridge,"Dry Ridge, KY",$83
Hampton Inn Bardstown,"Bardstown, KY",$84
Hampton Inn Carrollton,"Carrollton, KY",$102
Hampton Inn Louisville I-65 @ Brooks Rd.,"Brooks, KY",$103
Home2 Suites by Hilton Florence Cincinnati Airport South,"Florence, KY",$94
Homewood Suites by Hilton Cincinnati Airport South-Florence,"Florence, KY",$111
Hilton Cincinnati Airport,"Florence, KY",$104
Hampton Inn Cincinnati/Airport South,"Florence, KY",$93
Tru by Hilton Cincinnati Airport South Florence,"Florence, KY",$93
Hilton Garden Inn Elizabethtown,"Elizabethtown, KY",$89
Hampton Inn Elizabethtown,"Elizabethtown, KY",$90
Embassy Suites by Hilton Cincinnati RiverCenter,"Covington, KY",$149
Hampton Inn Ashland,"Ashland, KY",$88
Hilton Garden Inn Bowling Green,"Bowling Green, KY",$91
Home2 Suites by Hilton Bowling Green,"Bowling Green, KY",$86
Hampton Inn Bowling Green,"Bowling Green, KY",$87
Tru by Hilton Bowling Green,"Bowling Green, KY",$78
Name,Location,Price per Night
Home2 Suites by Hilton Alexandria,"Alexandria, LA",$96
Hampton Inn & Suites Alexandria,"Alexandria, LA",$87
Hilton Garden Inn Baton Rouge Airport,"Baton Rouge, LA",$96
Hampton Inn Broussard-Lafayette Area,"Broussard, LA",$87
Hampton Inn & Suites Baton Rouge Downtown,"Baton Rouge, LA",$120
Hilton Baton Rouge Capitol Center,"Baton Rouge, LA",$119
Hampton Inn Baton Rouge-I-10 & College Dr.,"Baton Rouge, LA",$105
DoubleTree by Hilton Hotel Baton Rouge,"Baton Rouge, LA",$103
Embassy Suites by Hilton Baton Rouge,"Baton Rouge, LA",$104
Tru by Hilton Baton Rouge Citiplace,"Baton Rouge, LA",$79
Homewood Suites by Hilton Baton Rouge,"Baton Rouge, LA",$99
